First Doses ~ Percent of Population Vaccinated,First Doses ~ Percent of Total,Gender,Second Doses ~ Percent of Population Vaccinated,County,Demographic,Ethnicity,Aggregation Level,Race,Age Group,Second Doses ~ Percent of Total
,0.008223684210526315,Missing or Undisclosed,,Avery ,Ethnicity,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.0
0.5055432372505543,0.35955056179775285,Missing or Undisclosed,0.3833148558758315,Cherokee ,Age Group,Missing or Undisclosed,County,Missing or Undisclosed,75+,0.4844133099824869
0.13948319322513753,0.3820098622683217,Male,0.08343163672035066,Alamance ,Gender,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.3857282277972329
0.15047619047619049,0.18827982616010094,Missing or Undisclosed,0.07428571428571429,Person ,Age Group,Missing or Undisclosed,County,Missing or Undisclosed,50-64,0.14736608135141144
,0.021061966522558474,Missing or Undisclosed,,Catawba ,Race,Missing or Undisclosed,County,Other,Missing or Undisclosed,0.019619753386381583
0.16639563247763967,0.9222597778850796,Missing or Undisclosed,0.09487164595191079,Alexander ,Race,Missing or Undisclosed,County,White,Missing or Undisclosed,0.9342293394338004
,0.009067612852355609,Missing or Undisclosed,,Cherokee ,Race,Missing or Undisclosed,County,Other,Missing or Undisclosed,0.008756567425569177
,,Missing or Undisclosed,,Beaufort ,Age Group K-12,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,
,,Missing or Undisclosed,,Lee ,Age Group K-12,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,
0.224601593625498,1.0,Missing or Undisclosed,0.13645418326693226,Tyrrell ,Ethnicity,Suppressed,County,Missing or Undisclosed,Missing or Undisclosed,1.0
,0.000649772579597141,Missing or Undisclosed,,Bertie ,Age Group,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.00041511000415110004
0.20713455085499724,0.6045069817839839,Female,0.116878226817701,Wake ,Gender,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.6103845028170045
