Fully Vaccinated - NC 5Plus,Fully Vaccinated - NC 12Plus,Fully Vaccinated - All Programs,Fully Vaccinated - All Programs 18Plus,Fully Vaccinated - Tiberius 18Plus,At Least One Dose - NC,Fully Vaccinated - All Programs 65Plus,Population 5 Plus,County,Fully Vaccinated - Tiberius 65Plus,At Least One Dose - Tiberius 12Plus,At Least One Dose - NC 5Plus,At Least One Dose - Federal 18Plus,Fully Vaccinated - Federal 65Plus,At Least One Dose - NC 12Plus,Fully Vaccinated - Federal 5Plus,Fully Vaccinated - NC 65Plus,Fully Vaccinated - Federal 18Plus,Population,Fully Vaccinated - Tiberius 12Plus,At Least One Dose - All Programs,Fully Vaccinated - All Programs 12Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Tiberius,At Least One Dose - Federal,Population 65 Plus,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,At Least One Dose - All Programs 18Plus,Population 18 Plus,At Least One Dose - Tiberius 5Plus,At Least One Dose - All Programs 65Plus,Fully Vaccinated - Tiberius,Population 12 Plus,Fully Vaccinated - Federal 12Plus,Fully Vaccinated - NC,Fully Vaccinated - Tiberius 5Plus,Fully Vaccinated - NC 18Plus,At Least One Dose - Tiberius 18Plus,Fully Vaccinated - Federal,At Least One Dose - All Programs 12Plus,At Least One Dose - Tiberius 65Plus
25635,25498,40886,38688,239,26728,13008,81663,Lincoln,199,363,26721,14418,2116,26433,14978,10693,13425,86111,239,43359,40501,2158,382,16249,15456,15888,16249,10883,25890,40671,67981,363,13275,269,74647,14764,25639,239,25024,363,14978,42684,234
27321,27220,37239,35672,202,28310,13386,78015,Caldwell,149,316,28298,9934,1325,28086,9691,11912,9041,82178,202,39380,37043,1390,324,10746,16769,10619,10746,12090,27242,37492,65842,316,13662,219,71809,9621,27329,202,26429,316,9691,39021,182
7011,6967,8831,8421,100,7381,4155,19940,Polk,88,117,7377,1642,740,7307,1698,3327,1572,20724,100,9305,8741,754,145,1779,6644,1746,1779,3429,7059,8818,17478,117,4280,118,18752,1674,7015,100,6749,117,1698,9170,97
24712,24576,35404,33698,220,25970,12421,67979,Surry,178,284,25949,10746,2112,25632,10449,10131,9903,71783,220,37631,35234,2259,301,11360,14964,11315,11359,10327,24536,35566,56811,284,12786,227,62223,10438,24727,220,23575,284,10450,37231,200
17529,17470,20670,19878,350,18142,8973,34121,Macon,238,439,18132,2856,807,17964,2730,7928,2611,35858,350,21600,20545,838,479,2979,10350,2966,2979,8049,17332,20627,29260,439,9146,404,31614,2725,17536,350,16917,439,2730,21369,259
3984,3968,5010,4843,23,4203,2545,10740,Clay,23,25,4203,1007,318,4164,957,2204,954,11231,23,5306,4948,319,93,1010,3581,1010,1010,2256,4050,5082,9352,25,2600,69,10050,957,3984,23,3866,25,957,5199,25
12917,12846,17765,16940,102,13476,6271,35700,Yadkin,87,149,13469,4678,838,13346,4722,5346,4376,37667,102,18724,17654,828,169,5079,7711,5039,5079,5449,12919,17746,29851,149,6382,119,32660,4706,12924,102,12462,149,4722,18534,105
94131,93420,94180,91404,,107183,36381,,Out of State,,,107120,,,105273,,36381,,,,107183,93420,,,,,,,41396,102922,102922,,,41396,,,,94180,,91404,,,105273,
35528,35277,110389,105315,48363,38604,18797,180787,Onslow,2485,56842,38585,24885,2786,38067,25338,13526,22770,197938,49476,123598,109817,2910,57013,27981,19026,27379,27981,13829,36745,117184,149343,56961,19743,49499,162055,25064,35550,49476,34182,55554,25340,122288,3004
15420,15387,20258,19362,247,16766,6829,42075,Richmond,129,283,16755,4524,640,16580,4550,6060,4110,44829,247,22111,20178,682,320,5025,8183,4986,5025,6184,16098,20905,34516,283,7004,281,38043,4544,15427,247,15005,283,4550,21849,138
119070,116930,165372,154151,3813,124389,47676,248550,Buncombe,2022,5677,124322,39151,8184,120643,42381,37470,38525,261191,3813,173435,162358,7990,5706,43340,53494,42286,43333,37899,114959,159787,213777,5677,48254,3860,230148,41615,119130,3813,111813,5677,42382,168606,2365
77650,76830,125378,112110,567,81907,26570,226508,Union,411,897,81855,40583,4384,80047,47106,21775,38950,239859,567,132598,123207,4375,915,49776,31234,47610,49763,22453,75440,116920,176616,897,27335,589,202043,45810,77682,567,72593,897,47107,128554,507
67931,67090,111841,101337,1449,72892,24649,202607,Cabarrus,860,2091,72849,37955,4311,70892,42414,19478,36504,216453,1449,119721,110046,4373,2107,44722,29064,43057,44715,20017,66711,106757,161462,2091,25326,1463,181104,41507,67960,1449,63384,2091,42418,116040,936
3928,3922,5511,5271,28,4349,2358,10985,Washington,16,55,4338,1684,392,4316,1535,1950,1476,11580,28,6152,5485,465,56,1747,2932,1744,1747,2096,4136,5875,9274,55,2594,38,10083,1535,3938,28,3767,55,1535,6115,33
33548,33360,51865,48246,875,35711,13581,126086,Harnett,348,1287,35673,16593,1858,35215,17349,11375,15463,135976,875,55934,51396,1931,1338,18885,17458,18455,18884,11684,33563,51432,100990,1287,14006,945,112079,17161,33570,875,31908,1276,17350,54957,391
