First Doses ~ Percent of Population Vaccinated,Demographic,Ethnicity,First Doses ~ Percent of Total,Aggregation Level,Race,Age Group,Gender,Second Doses ~ Percent of Total,Second Doses ~ Percent of Population Vaccinated,County
,Age Group K-12,Missing or Undisclosed,,County,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,,,Person 
,Race,Missing or Undisclosed,0.00020639834881320952,County,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.0,,Currituck 
,Age Group,Missing or Undisclosed,0.001038511466897447,County,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.0014232342999466287,,Harnett 
0.03471749489448604,Race,Missing or Undisclosed,0.012085308056872038,County,Suppressed,Missing or Undisclosed,Missing or Undisclosed,0.011712214166201896,0.014295439074200136,Macon 
0.08528607693809803,Age Group K-12,Missing or Undisclosed,0.15237679895333622,County,Missing or Undisclosed,50-64,Missing or Undisclosed,0.18668293533205507,0.05228471001757469,Burke 
0.04689590788859499,Age Group,Missing or Undisclosed,0.03412745142443045,County,Missing or Undisclosed,18-24,Missing or Undisclosed,0.042190669371196754,0.032363466625175044,Durham 
,Race,Missing or Undisclosed,0.00013952839402818474,County,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.00027570995312930797,,Franklin 
,Race,Missing or Undisclosed,0.00010443864229765014,County,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.0,,Carteret 
,Ethnicity,Missing or Undisclosed,0.0027124773960217,County,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.0,,Yadkin 
0.09173879030956254,Gender,Missing or Undisclosed,0.38769941225860627,County,Missing or Undisclosed,Missing or Undisclosed,Male,0.37808887474811753,0.044267567332646245,Alamance 
0.41047671840354766,Age Group,Missing or Undisclosed,0.4647003451521808,County,Missing or Undisclosed,75+,Missing or Undisclosed,0.5045815516188149,0.22893569844789358,Cherokee 
,Ethnicity,Missing or Undisclosed,0.006178560395427865,County,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.0,,Martin 
0.08302521008403362,Age Group,Missing or Undisclosed,0.15147179067865904,County,Missing or Undisclosed,50-64,Missing or Undisclosed,0.1821705426356589,0.05266106442577031,Person 
0.1181031478685097,Race,Missing or Undisclosed,0.9364494588993783,County,White,Missing or Undisclosed,Missing or Undisclosed,0.9547738693467336,0.06069229875711465,Alexander 
,Race,Missing or Undisclosed,0.01981892458871591,County,Other,Missing or Undisclosed,Missing or Undisclosed,0.018738288569643973,,Catawba 
,Race,Missing or Undisclosed,0.00815814245371823,County,Other,Missing or Undisclosed,Missing or Undisclosed,0.009773976786805132,,Cherokee 
,Age Group K-12,Missing or Undisclosed,,County,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,,,Beaufort 
,Age Group K-12,Missing or Undisclosed,,County,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,,,Lee 
0.1508964143426295,Ethnicity,Suppressed,1.0,County,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,1.0,0.05677290836653386,Tyrrell 
,Age Group,Missing or Undisclosed,0.0007782101167315176,County,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.0,,Bertie 
0.13057884818807838,Gender,Missing or Undisclosed,0.6087773014901,County,Missing or Undisclosed,Missing or Undisclosed,Female,0.6251775153247408,0.06090760705854332,Wake 
,Age Group,Missing or Undisclosed,,County,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,,,Iredell 
0.07948243992606285,Race,Missing or Undisclosed,0.005327056491575818,County,Asian or Pacific Islander,Missing or Undisclosed,Missing or Undisclosed,0.006225501498731842,0.04990757855822551,Granville 
0.06996853318201748,Race,Missing or Undisclosed,0.828890077152242,County,White,Missing or Undisclosed,Missing or Undisclosed,0.8370248428614186,0.036064326429547856,Onslow 
