county,report_date,reference_date,confirm_death,confirm
Forsyth,2021-10-04,2021-09-29,3,133
Forsyth,2021-10-04,2021-09-30,3,139
Guilford,2021-10-04,2021-09-18,3,136
Wake,2021-10-04,2021-09-15,3,493
Wake,2021-10-04,2021-09-19,3,144
Wake,2021-10-04,2021-09-22,3,399
Wake,2021-10-04,2021-09-28,3,360
Guilford,2021-10-04,2021-09-30,3,166
Forsyth,2021-10-04,2021-09-25,4,62
Forsyth,2021-10-04,2021-09-21,4,177
Guilford,2021-10-04,2021-09-14,4,321
Guilford,2021-10-04,2021-09-15,4,325
Wake,2021-10-04,2021-09-27,4,466
Wake,2021-10-04,2021-09-20,4,561
Wake,2021-10-04,2021-09-17,4,398
Guilford,2021-10-04,2021-09-16,6,301
Forsyth,2021-10-05,2021-10-03,0,27
Wake,2021-10-05,2021-10-03,0,41
Wake,2021-10-05,2021-10-02,0,244
Guilford,2021-10-05,2021-10-03,0,29
Forsyth,2021-10-05,2021-10-01,0,85
Guilford,2021-10-05,2021-10-02,0,62
Wake,2021-10-05,2021-09-30,0,325
Wake,2021-10-05,2021-10-01,0,293
Wake,2021-10-05,2021-09-24,0,322
Wake,2021-10-05,2021-09-26,0,92
Guilford,2021-10-05,2021-09-26,0,136
Forsyth,2021-10-05,2021-09-23,0,159
Guilford,2021-10-05,2021-10-01,0,153
Forsyth,2021-10-05,2021-09-27,0,220
Guilford,2021-10-05,2021-09-22,0,271
Guilford,2021-10-05,2021-09-29,0,244
Forsyth,2021-10-05,2021-10-02,1,41
Guilford,2021-10-05,2021-09-19,1,131
Forsyth,2021-10-05,2021-09-24,1,152
Wake,2021-10-05,2021-09-18,1,310
Wake,2021-10-05,2021-09-25,1,223
Forsyth,2021-10-05,2021-09-17,1,188
Forsyth,2021-10-05,2021-09-14,1,243
Forsyth,2021-10-05,2021-09-15,1,251
Forsyth,2021-10-05,2021-09-20,1,238
Wake,2021-10-05,2021-09-21,1,396
Wake,2021-10-05,2021-09-23,1,334
Guilford,2021-10-05,2021-09-24,1,230
Guilford,2021-10-05,2021-09-28,1,250
Guilford,2021-10-05,2021-09-20,1,323
Guilford,2021-10-05,2021-09-27,1,295
Wake,2021-10-05,2021-09-16,1,433
Forsyth,2021-10-05,2021-09-18,2,90
Forsyth,2021-10-05,2021-09-16,2,197
Wake,2021-10-05,2021-09-29,2,379
Guilford,2021-10-05,2021-09-25,2,118
Guilford,2021-10-05,2021-09-17,2,292
Wake,2021-10-05,2021-09-14,2,424
Guilford,2021-10-05,2021-09-23,2,240
Forsyth,2021-10-05,2021-09-22,2,191
Guilford,2021-10-05,2021-09-21,2,266
Forsyth,2021-10-05,2021-09-19,3,102
Forsyth,2021-10-05,2021-09-26,3,94
Forsyth,2021-10-05,2021-09-28,3,151
Forsyth,2021-10-05,2021-09-29,3,135
Forsyth,2021-10-05,2021-09-30,3,149
Guilford,2021-10-05,2021-09-18,3,136
Wake,2021-10-05,2021-09-15,3,493
Wake,2021-10-05,2021-09-19,3,144
Wake,2021-10-05,2021-09-22,3,399
Wake,2021-10-05,2021-09-28,3,360
Guilford,2021-10-05,2021-09-30,3,180
Forsyth,2021-10-05,2021-09-25,4,64
Forsyth,2021-10-05,2021-09-21,4,177
Guilford,2021-10-05,2021-09-14,4,321
Guilford,2021-10-05,2021-09-15,4,325
Wake,2021-10-05,2021-09-20,4,560
Wake,2021-10-05,2021-09-27,4,466
Wake,2021-10-05,2021-09-17,4,398
