Reinfection,Total Cases by Date of Specimen collection,Total Antigen Cases by Date of Specimen Collection,Total Molecular Cases by Date of Specimen Collection,Death by Date of Death,County,Date
0,7,3,4,0,Wilson,2022-06-05
1,11,0,11,0,Bladen,2022-06-02
0,9,6,3,0,Sampson,2022-06-05
0,4,0,4,0,Hertford,2021-12-17
0,3,1,2,0,Gates,2021-12-26
0,3,1,2,0,Martin,2022-02-19
0,1,0,1,0,Caswell,2022-03-03
2,2,2,0,1,Avery,2022-03-06
0,5,1,4,0,Rockingham,2022-03-08
1,2,2,0,0,Wayne,2022-03-24
1,5,1,4,0,Stokes,2022-02-19
0,2,0,2,0,Henderson,2022-04-02
1,3,1,2,0,Lenoir,2022-04-05
0,3,2,1,0,Haywood,2022-03-14
0,4,2,2,0,Carteret,2022-02-19
0,4,4,0,0,Avery,2022-04-12
0,1,1,0,0,Columbus,2022-03-06
0,4,1,3,1,Alexander,2022-03-07
0,6,1,5,0,Granville,2022-03-03
0,7,1,6,0,Randolph,2022-03-14
0,4,0,4,0,Lincoln,2022-04-02
0,1,0,1,0,Greene,2022-04-28
0,3,0,3,0,Halifax,2022-04-28
0,8,2,6,0,Craven,2022-04-12
0,3,0,3,0,Martin,2022-05-03
0,8,0,8,0,Dare,2022-05-05
0,10,7,3,0,Henderson,2022-04-28
0,4,3,1,0,Ashe,2022-05-08
1,7,0,7,0,Halifax,2022-05-21
0,12,5,7,2,Rutherford,2021-12-17
0,9,3,6,1,Richmond,2021-12-19
0,4,1,3,0,Caswell,2021-12-19
0,9,4,5,0,Chatham,2021-12-19
0,3,0,3,0,Montgomery,2021-12-26
0,7,2,5,1,Hoke,2022-03-08
0,2,1,1,0,Bertie,2022-03-02
0,1,1,0,0,Jones,2022-03-08
0,3,0,3,0,Rockingham,2022-03-23
0,5,0,5,0,Johnston,2022-04-02
0,3,1,2,0,Lee,2022-04-12
0,5,1,4,0,Rockingham,2022-04-12
0,1,0,1,0,Jones,2022-04-12
0,1,1,0,0,Vance,2022-04-12
1,1,0,1,0,Northampton,2022-04-28
0,5,1,4,0,Montgomery,2022-05-03
0,4,1,3,0,Gates,2022-05-05
0,3,2,1,0,Madison,2022-05-08
1,4,1,3,0,Perquimans,2022-05-14
0,1,0,1,0,Northampton,2022-05-14
0,4,0,4,0,Martin,2022-05-17
0,3,2,1,0,Martin,2022-05-21
0,7,1,6,0,Richmond,2022-05-21
1,2,1,1,0,Pamlico,2022-05-25
0,2,0,2,0,Gates,2022-05-31
0,2,1,1,1,Alleghany,2022-05-31
0,3,0,3,0,Northampton,2022-06-05
0,1,0,1,0,Pender,2022-02-26
1,3,0,3,0,Pamlico,2022-02-14
1,6,4,2,0,Harnett,2022-04-12
0,1,0,1,0,Hoke,2022-03-23
2,4,2,2,0,Davie,2022-03-24
1,3,2,1,0,Haywood,2022-03-24
2,4,2,2,0,Haywood,2022-04-12
0,3,2,1,0,Lincoln,2022-02-26
0,4,0,4,1,Henderson,2022-03-06
0,5,4,1,0,Lee,2022-04-25
1,8,2,6,0,Johnston,2022-03-23
0,1,0,1,0,Caswell,2022-05-21
0,2,1,1,0,Duplin,2022-05-02
0,4,2,2,0,Clay,2022-05-17
0,1,0,1,0,Pamlico,2022-02-19
1,1,0,1,0,Mitchell,2022-02-19
0,4,0,4,2,Halifax,2022-02-19
0,1,1,0,0,Granville,2022-03-23
0,1,1,0,0,Lee,2022-04-02
0,1,1,0,0,Watauga,2022-04-02
1,6,2,4,0,Chatham,2022-04-04
0,1,0,1,1,Stanly,2022-03-23
0,1,0,1,0,Bladen,2022-04-05
0,2,0,2,0,Dare,2022-03-23
0,2,0,2,0,Nash,2022-04-05
0,1,0,1,0,Cherokee,2022-04-05
0,2,1,1,0,Jones,2022-05-02
0,2,1,1,0,Hertford,2022-05-02
0,3,2,1,0,Ashe,2022-05-05
1,6,1,5,0,Greene,2022-06-02
0,3,0,3,0,Caswell,2022-06-05
0,1,0,1,0,Hyde,2021-12-16
2,4,3,1,0,Alleghany,2021-12-19
0,3,0,3,1,Lee,2022-02-26
0,3,0,3,0,Franklin,2022-03-02
0,1,0,1,0,Greene,2022-03-23
1,1,1,0,1,Columbus,2022-04-04
0,2,0,2,0,Alexander,2022-03-02
0,1,0,1,0,McDowell,2022-04-05
1,2,1,1,0,Sampson,2022-04-12
0,2,0,2,0,Avery,2022-05-02
0,1,1,0,0,Northampton,2022-05-21
0,1,0,1,0,Ashe,2022-06-05
0,5,0,5,0,Martin,2021-12-16
0,5,3,2,0,Hoke,2022-03-02
0,2,0,2,0,Hertford,2022-03-03
0,1,0,1,0,Haywood,2022-03-06
0,6,0,6,1,Carteret,2022-03-07
0,3,0,3,0,Stanly,2022-03-08
0,1,0,1,1,Lee,2022-03-23
0,1,0,1,0,Macon,2022-04-05
0,2,0,2,0,Halifax,2022-04-04
0,3,0,3,0,Currituck,2022-05-05
0,1,0,1,0,Hyde,2022-05-25
0,1,0,1,0,Dare,2022-02-26
0,1,0,1,1,Burke,2022-03-06
0,2,0,2,0,Jackson,2022-03-08
0,1,1,0,0,Vance,2022-04-05
1,1,0,1,0,Martin,2022-03-02
0,1,1,0,0,Mitchell,2022-03-03
0,4,0,4,0,Clay,2022-03-14
0,2,1,1,0,Swain,2022-04-12
0,2,0,2,0,Columbus,2022-05-08
0,1,1,0,0,Alleghany,2022-05-08
0,1,0,1,0,Hertford,2022-06-05
1,2,1,1,0,Greene,2022-06-05
0,1,1,0,0,Polk,2022-06-05
0,2,0,2,0,Caswell,2021-12-17
1,2,0,2,0,Clay,2022-03-07
1,1,0,1,0,Stanly,2022-03-14
0,1,0,1,0,Martin,2022-03-23
0,4,3,1,0,Martin,2022-04-25
0,1,0,1,0,Madison,2022-05-03
0,2,0,2,0,Washington,2022-05-17
0,2,1,1,0,Carteret,2022-04-05
1,1,0,1,1,Bertie,2022-03-06
0,1,0,1,0,Hyde,2022-02-26
0,1,0,1,0,Vance,2022-03-02
0,1,1,0,0,Granville,2022-03-24
0,1,0,1,0,Pasquotank,2022-04-05
0,1,0,1,0,Perquimans,2022-05-03
0,1,1,0,0,Pamlico,2022-04-28
0,3,0,3,0,Caswell,2022-05-08
0,1,1,0,0,Gates,2022-05-17
0,2,0,2,0,Pamlico,2022-05-21
0,1,0,1,0,Hyde,2022-05-17
0,1,0,1,0,Bladen,2022-03-06
0,1,0,1,0,Pasquotank,2022-03-03
0,1,0,1,0,Beaufort,2022-03-23
0,1,0,1,0,Cleveland,2022-04-05
0,1,1,0,0,Halifax,2022-04-02
6,221,39,182,0,Guilford,2021-12-16
0,24,0,24,0,Dare,2021-12-16
0,34,11,23,0,Stokes,2021-12-16
4,177,25,152,3,Forsyth,2021-12-16
1,88,8,80,0,Durham,2021-12-16
1,13,2,11,0,Montgomery,2021-12-16
0,33,16,17,0,Yancey,2021-12-16
4,115,37,78,0,Cabarrus,2021-12-16
3,137,23,114,1,Cumberland,2021-12-16
5,107,24,83,0,Johnston,2021-12-16
0,62,29,33,1,Randolph,2021-12-16
0,29,5,24,0,Rockingham,2021-12-16
0,14,2,12,1,Richmond,2021-12-16
2,53,10,43,1,Onslow,2021-12-16
4,38,12,26,0,Robeson,2021-12-16
0,22,12,10,0,Transylvania,2021-12-16
4,212,32,180,0,Guilford,2021-12-17
22,510,50,460,1,Wake,2021-12-17
34,635,61,574,2,Mecklenburg,2021-12-17
3,34,14,20,0,Craven,2021-12-17
1,53,2,51,1,Orange,2021-12-17
4,133,21,112,0,Cumberland,2021-12-17
4,58,19,39,0,Harnett,2021-12-17
1,110,19,91,1,Gaston,2021-12-17
0,24,14,10,0,Wilkes,2021-12-17
1,59,7,52,0,Brunswick,2021-12-17
1,23,5,18,0,Caldwell,2021-12-17
3,15,4,11,0,Halifax,2021-12-16
2,49,6,43,0,Lincoln,2021-12-17
2,96,41,55,0,Buncombe,2021-12-17
1,20,4,16,0,Vance,2021-12-17
0,18,7,11,1,Person,2021-12-17
0,16,3,13,0,Alleghany,2021-12-17
1,15,7,8,0,Alexander,2021-12-17
0,10,0,10,0,Northampton,2021-12-16
0,12,7,5,0,Haywood,2021-12-16
1,68,14,54,0,New Hanover,2021-12-17
0,49,3,46,0,Onslow,2021-12-17
1,29,6,23,0,Burke,2021-12-17
0,6,2,4,0,Pasquotank,2021-12-17
0,12,4,8,1,Alleghany,2021-12-16
0,2,0,2,0,Camden,2021-12-17
0,14,9,5,0,McDowell,2021-12-17
0,70,7,63,0,Cumberland,2021-12-19
1,66,4,62,0,Durham,2021-12-19
1,63,13,50,1,Cabarrus,2021-12-19
1,56,13,43,0,Johnston,2021-12-19
0,5,1,4,1,Person,2021-12-19
0,4,1,3,0,Pamlico,2021-12-19
1,12,1,11,0,Hoke,2021-12-19
77,1419,166,1253,2,Mecklenburg,2021-12-21
6,158,23,135,0,Buncombe,2021-12-21
1,22,3,19,0,Halifax,2021-12-21
0,47,7,40,0,Davie,2021-12-21
0,13,1,12,0,Stanly,2021-12-19
0,31,6,25,1,Granville,2021-12-21
3,45,26,19,0,Wayne,2021-12-21
0,13,9,4,0,Yancey,2021-12-19
12,238,36,202,0,Cumberland,2021-12-21
7,175,27,148,1,Cabarrus,2021-12-21
7,142,21,121,0,Johnston,2021-12-21
9,115,10,105,0,Orange,2021-12-21
5,43,6,37,0,Stanly,2021-12-21
3,60,16,44,0,Henderson,2021-12-21
5,75,13,62,0,Moore,2021-12-21
0,13,3,10,0,Montgomery,2021-12-21
1,34,11,23,0,Wilson,2021-12-21
0,18,6,12,0,Avery,2021-12-21
2,42,10,32,0,Caldwell,2021-12-21
1,35,6,29,0,Burke,2021-12-21
119,1298,128,1170,2,Forsyth,2022-01-05
64,674,123,551,1,Union,2022-01-05
6,55,3,52,0,Bertie,2022-01-05
4,56,5,51,0,Washington,2022-01-05
47,359,60,299,1,Cleveland,2022-01-05
3,122,24,98,0,Johnston,2021-12-26
48,764,78,686,0,Alamance,2022-01-05
19,271,11,260,0,Durham,2021-12-26
4,65,2,63,1,Davidson,2021-12-26
93,1517,224,1293,5,Guilford,2022-01-05
21,163,53,110,0,Lenoir,2022-01-05
78,879,83,796,0,Johnston,2022-01-05
2,50,9,41,0,Harnett,2021-12-26
13,194,32,162,0,Cumberland,2021-12-26
10,60,8,52,0,Nash,2021-12-26
24,307,27,280,2,Hoke,2022-01-05
1,16,0,16,0,Beaufort,2021-12-26
1,47,4,43,0,Lee,2021-12-26
32,328,79,249,0,Rockingham,2022-01-05
20,184,31,153,1,Richmond,2022-01-05
13,115,24,91,1,Beaufort,2022-01-05
17,166,42,124,1,Jackson,2022-01-05
0,9,3,6,0,Columbus,2021-12-26
3,56,25,31,0,Transylvania,2022-01-05
5,44,9,35,2,Caldwell,2021-12-26
7,77,14,63,1,Yancey,2022-01-05
2,38,4,34,1,Rockingham,2021-12-26
0,11,0,11,0,Hertford,2021-12-26
9,67,12,55,0,Northampton,2022-01-05
14,210,30,180,1,Lee,2022-01-05
8,96,16,80,2,Yadkin,2022-01-05
7,57,2,55,0,Chowan,2022-01-05
1,63,10,53,0,Macon,2022-01-05
0,8,0,8,0,Hyde,2022-01-05
2,18,4,14,0,Avery,2022-01-07
23,259,17,242,0,Halifax,2022-01-07
62,686,51,635,2,Pitt,2022-01-07
40,409,130,279,4,Robeson,2022-01-07
85,976,95,881,1,Cumberland,2022-01-07
16,166,7,159,0,Edgecombe,2022-01-07
14,266,86,180,0,Craven,2022-01-07
77,1067,43,1024,2,Durham,2022-01-07
8,75,6,69,0,Davie,2022-01-07
27,285,89,196,1,Randolph,2022-01-07
12,113,29,84,0,Columbus,2022-01-07
6,55,3,52,1,Montgomery,2022-01-07
55,703,97,606,0,Johnston,2022-01-07
7,112,24,88,0,Chatham,2022-01-07
1,39,6,33,0,Currituck,2022-01-07
5,68,25,43,0,Pasquotank,2022-01-07
3,31,4,27,0,Pamlico,2022-01-07
20,191,92,99,0,Sampson,2022-01-07
4,79,15,64,0,Person,2022-01-07
13,158,12,146,1,Granville,2022-01-07
15,86,12,74,0,Northampton,2022-01-07
2,29,10,19,0,Ashe,2022-01-07
7,62,13,49,0,Warren,2022-01-07
0,7,5,2,0,Alleghany,2022-01-07
1,24,10,14,0,Jones,2022-01-07
61,765,115,650,0,Johnston,2022-01-13
15,119,48,71,0,Bertie,2022-01-13
73,667,253,414,0,Robeson,2022-01-13
1,36,2,34,0,Pamlico,2022-01-13
105,1274,180,1094,2,Cumberland,2022-01-13
1,14,1,13,0,Edgecombe,2021-12-16
0,8,1,7,0,Bladen,2021-12-16
25,531,72,459,2,Mecklenburg,2021-12-16
4,90,18,72,1,Union,2021-12-16
20,453,36,417,0,Wake,2021-12-16
0,18,5,13,0,Burke,2021-12-16
1,63,2,61,0,Orange,2021-12-16
2,56,20,36,0,Lincoln,2021-12-16
0,29,7,22,0,McDowell,2021-12-16
2,52,15,37,0,Henderson,2021-12-16
0,10,1,9,2,Macon,2021-12-16
0,4,0,4,0,Chowan,2021-12-16
2,34,9,25,0,Vance,2021-12-16
1,18,11,7,0,Alexander,2021-12-16
0,25,4,21,0,Chatham,2021-12-17
2,112,17,95,0,Johnston,2021-12-17
2,52,6,46,2,Rowan,2021-12-17
1,59,22,37,1,Randolph,2021-12-17
1,112,21,91,0,Cabarrus,2021-12-17
0,46,14,32,1,Surry,2021-12-17
0,19,0,19,0,Dare,2021-12-17
0,62,8,54,0,Alamance,2021-12-17
0,153,16,137,1,Forsyth,2021-12-17
1,31,18,13,1,Wayne,2021-12-16
0,47,14,33,0,Robeson,2021-12-17
1,6,1,5,0,Warren,2021-12-17
0,35,4,31,0,Stokes,2021-12-17
0,8,3,5,0,Currituck,2021-12-17
4,54,5,49,0,Pitt,2021-12-16
3,52,7,45,0,Rowan,2021-12-16
2,30,24,6,0,Yancey,2021-12-17
0,9,2,7,1,Jackson,2021-12-17
1,17,5,12,0,Watauga,2021-12-16
2,20,2,18,0,Hoke,2021-12-17
0,11,8,3,0,Mitchell,2021-12-17
20,503,49,454,2,Mecklenburg,2021-12-19
0,14,5,9,0,Lenoir,2021-12-19
12,259,47,212,2,Wake,2021-12-19
1,19,4,15,0,Lincoln,2021-12-19
0,36,2,34,1,Davidson,2021-12-19
0,31,4,27,0,Orange,2021-12-19
2,19,1,18,2,Nash,2021-12-19
3,37,10,27,0,New Hanover,2021-12-19
2,15,3,12,0,Vance,2021-12-19
1,34,8,26,0,Catawba,2021-12-19
3,68,10,58,1,Union,2021-12-19
0,20,4,16,0,Caldwell,2021-12-19
0,28,5,23,0,Brunswick,2021-12-19
1,8,4,4,0,Jackson,2021-12-19
1,64,22,42,2,Iredell,2021-12-19
0,27,8,19,1,Surry,2021-12-19
1,43,12,31,0,Hoke,2021-12-21
10,161,36,125,1,Gaston,2021-12-21
9,325,54,271,3,Guilford,2021-12-21
0,44,9,35,0,Yadkin,2021-12-21
0,5,2,3,0,Pasquotank,2021-12-19
1,27,5,22,1,Cleveland,2021-12-19
3,14,1,13,0,Bertie,2021-12-21
5,55,1,54,0,Franklin,2021-12-21
5,172,25,147,1,Union,2021-12-21
10,154,33,121,0,New Hanover,2021-12-21
0,40,5,35,0,Stokes,2021-12-21
2,35,10,25,0,Richmond,2021-12-21
2,32,12,20,0,Vance,2021-12-21
4,98,24,74,3,Catawba,2021-12-21
3,48,4,44,0,Rockingham,2021-12-21
1,78,8,70,1,Davidson,2021-12-21
0,5,2,3,0,Martin,2021-12-21
1,16,5,11,0,Scotland,2021-12-21
332,4389,635,3754,4,Mecklenburg,2022-01-05
19,264,94,170,1,Sampson,2022-01-05
3,25,9,16,0,Wilson,2021-12-26
28,235,88,147,0,Duplin,2022-01-05
1,104,20,84,0,New Hanover,2021-12-26
39,470,61,409,0,Harnett,2022-01-05
2,78,1,77,1,Moore,2021-12-26
30,272,49,223,2,Halifax,2022-01-05
48,681,230,451,0,Buncombe,2022-01-05
1,35,6,29,0,Hoke,2021-12-26
17,179,56,123,0,Watauga,2022-01-05
2,34,10,24,0,Vance,2021-12-26
19,213,43,170,0,Caldwell,2022-01-05
29,419,66,353,1,Wilson,2022-01-05
13,180,37,143,0,Gaston,2021-12-26
36,489,24,465,0,Orange,2022-01-05
2,98,18,80,1,Buncombe,2021-12-26
20,252,44,208,0,Lincoln,2022-01-05
0,21,1,20,0,Alamance,2022-03-03
0,8,0,8,0,Alamance,2022-03-10
0,4,0,4,0,Alamance,2022-03-16
0,8,0,8,0,Alamance,2022-03-18
0,1,0,1,0,Alamance,2022-03-19
0,14,1,13,0,Alamance,2022-03-21
0,7,0,7,0,Alamance,2022-03-22
0,6,2,4,0,Alamance,2022-03-25
0,7,2,5,0,Alamance,2022-03-27
0,11,7,4,0,Alamance,2022-03-29
0,8,2,6,0,Alamance,2022-04-09
0,10,1,9,0,Alamance,2022-04-10
0,32,11,21,0,Alamance,2022-04-13
0,7,1,6,0,Alamance,2022-04-16
0,9,0,9,0,Alamance,2022-04-17
0,21,3,18,0,Alamance,2022-04-24
1,81,5,76,0,Alamance,2021-12-15
1,31,6,25,0,Alamance,2021-12-25
1,16,2,14,0,Alamance,2022-02-25
1,14,4,10,0,Alamance,2022-02-26
1,34,6,28,0,Alamance,2022-02-28
1,8,0,8,0,Alamance,2022-03-11
1,5,1,4,0,Alamance,2022-03-12
1,8,0,8,0,Alamance,2022-03-15
1,2,0,2,0,Alamance,2022-03-26
1,7,2,5,0,Alamance,2022-04-03
1,17,3,14,0,Alamance,2022-04-04
1,26,7,19,0,Alamance,2022-04-07
1,37,9,28,0,Alamance,2022-04-19
1,27,10,17,0,Alamance,2022-04-20
1,20,5,15,0,Alamance,2022-04-21
1,24,3,21,0,Alamance,2022-04-22
1,34,3,31,0,Alamance,2022-04-27
1,46,8,38,0,Alamance,2022-04-29
1,21,1,20,0,Alamance,2022-04-30
1,29,3,26,0,Alamance,2022-05-29
1,27,2,25,0,Alamance,2022-06-05
2,19,1,18,0,Alamance,2022-03-04
2,8,1,7,0,Alamance,2022-03-05
2,12,1,11,0,Alamance,2022-03-30
2,31,7,24,0,Alamance,2022-04-08
2,26,4,22,0,Alamance,2022-04-14
2,24,0,24,0,Alamance,2022-05-01
2,69,18,51,0,Alamance,2022-05-05
2,32,6,26,0,Alamance,2022-05-08
2,39,3,36,0,Alamance,2022-05-28
2,28,3,25,0,Alamance,2022-06-11
3,25,4,21,0,Alamance,2022-02-24
3,33,6,27,0,Alamance,2022-03-02
3,28,9,19,0,Alamance,2022-04-15
3,32,4,28,0,Alamance,2022-04-28
3,76,15,61,0,Alamance,2022-05-10
3,30,2,28,0,Alamance,2022-06-10
4,80,5,75,0,Alamance,2022-01-22
4,29,2,27,0,Alamance,2022-03-01
4,32,5,27,0,Alamance,2022-04-12
4,37,13,24,0,Alamance,2022-04-18
4,76,8,68,0,Alamance,2022-05-19
4,82,13,69,0,Alamance,2022-05-24
5,85,10,75,0,Alamance,2022-01-30
5,63,10,53,0,Alamance,2022-05-04
5,30,7,23,0,Alamance,2022-05-07
5,37,9,28,0,Alamance,2022-05-15
5,67,17,50,0,Alamance,2022-06-07
6,69,12,57,0,Alamance,2022-05-20
6,37,9,28,0,Alamance,2022-05-30
7,50,3,47,0,Alamance,2022-02-18
7,55,18,37,0,Alamance,2022-05-02
7,103,22,81,0,Alamance,2022-05-16
7,50,8,42,0,Alamance,2022-06-03
7,48,10,38,0,Alamance,2022-06-04
7,52,11,41,0,Alamance,2022-06-09
8,94,11,83,0,Alamance,2022-02-09
8,68,15,53,0,Alamance,2022-05-06
9,107,26,81,0,Alamance,2022-02-14
9,84,7,77,0,Alamance,2022-05-26
10,104,20,84,0,Alamance,2022-01-01
10,85,11,74,0,Alamance,2022-05-13
11,144,14,130,0,Alamance,2021-12-22
11,77,11,66,0,Alamance,2022-05-11
11,74,14,60,0,Alamance,2022-05-12
12,159,25,134,0,Alamance,2021-12-23
12,91,11,80,0,Alamance,2022-06-01
12,91,17,74,0,Alamance,2022-06-06
12,64,8,56,0,Alamance,2022-06-08
13,80,7,73,0,Alamance,2022-05-25
14,205,41,164,0,Alamance,2022-01-17
14,111,9,102,0,Alamance,2022-05-23
22,174,26,148,0,Alamance,2022-02-03
23,353,55,298,0,Alamance,2022-01-25
35,446,74,372,0,Alamance,2021-12-27
39,499,55,444,0,Alamance,2021-12-29
42,504,68,436,0,Alamance,2021-12-30
46,478,41,437,0,Alamance,2021-12-28
47,537,41,496,0,Alamance,2022-01-20
,0,0,0,0,Alexander,2022-03-06
,0,0,0,0,Alexander,2022-03-20
,0,0,0,0,Alexander,2022-03-26
,0,0,0,0,Alexander,2022-03-27
,0,0,0,0,Alexander,2022-03-28
,0,0,0,0,Alexander,2022-03-29
,0,0,0,0,Alexander,2022-03-30
,0,0,0,0,Alexander,2022-04-01
,0,0,0,0,Alexander,2022-04-02
,0,0,0,0,Alexander,2022-04-03
,0,0,0,0,Alexander,2022-04-07
,0,0,0,0,Alexander,2022-04-09
,0,0,0,0,Alexander,2022-04-10
,0,0,0,0,Alexander,2022-04-15
,0,0,0,0,Alexander,2022-04-17
,0,0,0,0,Alexander,2022-04-23
,0,0,0,0,Alexander,2022-05-01
,0,0,0,0,Alexander,2022-06-05
0,11,4,7,0,Alexander,2021-12-14
0,15,9,6,0,Alexander,2021-12-15
0,8,6,2,0,Alexander,2021-12-18
0,8,5,3,0,Alexander,2021-12-19
0,19,9,10,0,Alexander,2021-12-21
0,2,0,2,0,Alexander,2021-12-25
0,14,11,3,0,Alexander,2021-12-26
0,20,10,10,0,Alexander,2022-01-01
0,13,3,10,0,Alexander,2022-01-29
0,13,3,10,0,Alexander,2022-02-15
0,5,0,5,0,Alexander,2022-02-19
0,2,0,2,0,Alexander,2022-02-22
0,1,0,1,0,Alexander,2022-02-25
0,4,1,3,0,Alexander,2022-03-03
0,1,0,1,0,Alexander,2022-03-04
0,2,1,1,0,Alexander,2022-03-05
0,1,0,1,0,Alexander,2022-03-08
0,3,0,3,0,Alexander,2022-03-09
0,1,0,1,0,Alexander,2022-03-11
0,2,2,0,0,Alexander,2022-03-14
0,1,0,1,0,Alexander,2022-03-16
0,1,0,1,0,Alexander,2022-03-17
0,2,1,1,0,Alexander,2022-03-18
0,1,0,1,0,Alexander,2022-03-19
0,2,0,2,0,Alexander,2022-03-21
0,2,0,2,0,Alexander,2022-03-23
0,2,0,2,0,Alexander,2022-03-24
0,1,0,1,0,Alexander,2022-03-25
0,1,0,1,0,Alexander,2022-03-31
0,1,1,0,0,Alexander,2022-04-04
0,2,1,1,0,Alexander,2022-04-08
0,1,1,0,0,Alexander,2022-04-11
0,3,2,1,0,Alexander,2022-04-13
0,1,0,1,0,Alexander,2022-04-14
0,1,1,0,0,Alexander,2022-04-18
0,1,0,1,0,Alexander,2022-04-20
0,1,1,0,0,Alexander,2022-04-21
0,5,2,3,0,Alexander,2022-04-22
0,1,0,1,0,Alexander,2022-04-24
0,2,0,2,0,Alexander,2022-04-30
0,2,1,1,0,Alexander,2022-05-02
0,2,1,1,0,Alexander,2022-05-06
0,1,0,1,0,Alexander,2022-05-07
0,1,1,0,0,Alexander,2022-05-08
0,5,3,2,0,Alexander,2022-05-10
0,4,1,3,0,Alexander,2022-05-11
0,4,0,4,0,Alexander,2022-05-13
0,2,1,1,0,Alexander,2022-05-14
0,2,0,2,0,Alexander,2022-05-15
0,1,1,0,0,Alexander,2022-05-21
0,2,0,2,0,Alexander,2022-05-22
0,9,1,8,0,Alexander,2022-05-25
0,2,1,1,0,Alexander,2022-05-28
0,6,2,4,0,Alexander,2022-05-29
0,3,2,1,0,Alexander,2022-05-30
0,1,0,1,0,Alexander,2022-06-04
0,7,2,5,0,Alexander,2022-06-08
0,1,1,0,0,Alexander,2022-06-11
1,25,10,15,0,Alexander,2021-12-20
1,56,16,40,0,Alexander,2022-01-07
1,17,2,15,0,Alexander,2022-01-30
1,21,7,14,0,Alexander,2022-02-11
1,9,3,6,0,Alexander,2022-02-13
1,8,2,6,0,Alexander,2022-02-28
1,3,0,3,0,Alexander,2022-03-12
1,1,1,0,0,Alexander,2022-03-13
1,2,0,2,0,Alexander,2022-03-15
1,2,2,0,0,Alexander,2022-03-22
1,2,0,2,0,Alexander,2022-04-05
1,1,1,0,0,Alexander,2022-04-06
1,2,1,1,0,Alexander,2022-04-12
1,5,4,1,0,Alexander,2022-04-25
1,7,4,3,0,Alexander,2022-04-28
1,3,2,1,0,Alexander,2022-04-29
1,6,3,3,0,Alexander,2022-05-03
1,3,0,3,0,Alexander,2022-05-04
1,3,0,3,0,Alexander,2022-05-05
1,9,6,3,0,Alexander,2022-05-09
1,3,0,3,0,Alexander,2022-05-12
1,11,3,8,0,Alexander,2022-05-19
1,8,3,5,0,Alexander,2022-05-23
1,5,0,5,0,Alexander,2022-05-27
1,6,3,3,0,Alexander,2022-06-02
1,6,1,5,0,Alexander,2022-06-03
1,10,3,7,0,Alexander,2022-06-07
1,6,0,6,0,Alexander,2022-06-09
1,8,4,4,0,Alexander,2022-06-10
2,21,13,8,0,Alexander,2021-12-22
2,31,12,19,0,Alexander,2021-12-23
2,62,35,27,0,Alexander,2021-12-27
2,62,14,48,0,Alexander,2022-01-28
2,31,12,19,0,Alexander,2022-02-08
2,13,2,11,0,Alexander,2022-02-17
2,8,1,7,0,Alexander,2022-02-23
2,3,2,1,0,Alexander,2022-04-19
2,6,1,5,0,Alexander,2022-04-26
2,8,4,4,0,Alexander,2022-04-27
2,11,5,6,0,Alexander,2022-05-17
2,9,0,9,0,Alexander,2022-05-24
2,8,3,5,0,Alexander,2022-05-26
2,8,4,4,0,Alexander,2022-06-06
3,32,4,28,0,Alexander,2022-01-02
3,23,13,10,0,Alexander,2022-01-17
3,42,10,32,0,Alexander,2022-02-04
3,23,5,18,0,Alexander,2022-02-05
3,15,3,12,0,Alexander,2022-02-12
3,13,1,12,0,Alexander,2022-02-20
3,6,1,5,0,Alexander,2022-05-16
3,13,1,12,0,Alexander,2022-05-20
4,47,29,18,0,Alexander,2021-12-28
4,53,11,42,0,Alexander,2022-01-08
4,40,8,32,0,Alexander,2022-01-09
4,65,18,47,0,Alexander,2022-01-27
4,9,3,6,0,Alexander,2022-05-31
5,46,15,31,0,Alexander,2022-02-01
6,43,1,42,0,Alexander,2022-01-15
6,39,7,32,0,Alexander,2022-02-02
6,49,16,33,0,Alexander,2022-02-07
7,64,35,29,0,Alexander,2021-12-29
7,81,39,42,0,Alexander,2021-12-30
7,78,22,56,0,Alexander,2022-01-04
7,91,31,60,0,Alexander,2022-01-05
8,96,28,68,0,Alexander,2022-01-06
8,53,23,30,0,Alexander,2022-01-22
9,37,20,17,0,Alexander,2021-12-31
9,85,19,66,0,Alexander,2022-01-21
9,72,25,47,0,Alexander,2022-01-31
10,86,21,65,0,Alexander,2022-01-25
11,104,17,87,0,Alexander,2022-01-14
12,121,27,94,0,Alexander,2022-01-13
16,98,42,56,0,Alexander,2022-01-03
16,146,44,102,0,Alexander,2022-01-19
16,129,29,100,0,Alexander,2022-01-20
17,150,44,106,0,Alexander,2022-01-11
21,130,42,88,0,Alexander,2022-01-12
23,145,63,82,0,Alexander,2022-01-10
,0,0,0,0,Alleghany,2022-02-12
,0,0,0,0,Alleghany,2022-02-27
,0,0,0,0,Alleghany,2022-03-06
,0,0,0,0,Alleghany,2022-03-07
,0,0,0,0,Alleghany,2022-03-11
,0,0,0,0,Alleghany,2022-03-12
,0,0,0,0,Alleghany,2022-03-13
,0,0,0,0,Alleghany,2022-03-14
,0,0,0,0,Alleghany,2022-03-15
,0,0,0,0,Alleghany,2022-03-17
,0,0,0,0,Alleghany,2022-03-21
,0,0,0,0,Alleghany,2022-03-22
,0,0,0,0,Alleghany,2022-03-24
,0,0,0,0,Alleghany,2022-03-26
,0,0,0,0,Alleghany,2022-03-27
