OBJECTID,COUNTYFP10,GEOID10,TotalVax,TotalPop,PctTotal,NAME10,Pop18Up,Pop16Up,UpdateDTS
1224,035,37035011602,891,5162,22.4659606656581,Catawba,3817,3966,202105041931
1263,035,37035010402,943,5051,20.9555555555556,Catawba,4369,4500,202105041931
1292,035,37035011000,377,2140,24.3697478991597,Catawba,1527,1547,202105041931
1293,035,37035010101,1463,5938,28.6750294002352,Catawba,4882,5102,202105041931
1621,035,37035011504,1618,6577,30.3963930114597,Catawba,5275,5323,202105041931
155,037,37037020402,870,4499,26.8684373069796,Chatham,3098,3238,202105041931
156,037,37037020401,1233,6099,26.5618267987936,Chatham,4469,4642,202105041931
163,037,37037020600,1349,5187,30.8131566925537,Chatham,4282,4378,202105041931
164,037,37037020300,625,2790,24.8904818797292,Chatham,2314,2511,202105041931
166,037,37037020200,2714,8788,37.4654886802871,Chatham,6876,7244,202105041931
167,037,37037020104,2378,5370,51.0958315427589,Chatham,4573,4654,202105041931
192,037,37037020800,3283,9288,41.0991487230846,Chatham,7732,7988,202105041931
193,037,37037020105,2616,5516,60.9080325960419,Chatham,4151,4295,202105041931
194,037,37037020702,1181,3996,36.8256937948238,Chatham,3128,3207,202105041931
195,037,37037020701,3459,6970,55.9346701164295,Chatham,6078,6184,202105041931
196,037,37037020103,2378,4616,63.1774707757705,Chatham,3715,3764,202105041931
206,037,37037020500,782,3626,26.6076896903709,Chatham,2815,2939,202105041931
224,037,37037020106,1813,4593,49.589715536105,Chatham,3518,3656,202105041931
1421,039,37039930400,1180,5969,23.3109442907942,Cherokee,4995,5062,202105041931
1436,039,37039930601,730,3421,23.9737274220033,Cherokee,2925,3045,202105041931
1442,039,37039930500,1353,5297,29.6580447172293,Cherokee,4549,4562,202105041931
1540,039,37039930100,558,4228,16.0668010365678,Cherokee,3375,3473,202105041931
1719,039,37039930602,960,4158,26.1224489795918,Cherokee,3630,3675,202105041931
1763,039,37039930200,278,2155,16.1066048667439,Cherokee,1637,1726,202105041931
1788,039,37039930300,460,2741,20.9949794614331,Cherokee,2113,2191,202105041931
1307,041,37041930101,1510,5230,36.4382239382239,Chowan,4103,4144,202105041931
1308,041,37041930200,1598,6515,29.0598290598291,Chowan,5258,5499,202105041931
